"","Cytoband","Coefficients","T_val","P_val","cnv_type","Event","Chromosome","Arm","ChrArm","-signedlog(P.adj)","cnv_status","TumorType","CellType"
"185","5q11.2",-0.191727194487231,-0.865354506575122,0.389145082214038,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"186","5q12.1",-0.232505914782449,-1.09513790202955,0.276378307852476,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"187","5q12.3",-0.21740727347029,-1.08513482123278,0.28076009260612,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"188","5q13.1",-0.217964861395605,-1.12886034698064,0.261956784800536,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"189","5q13.2",-0.184413254997365,-1.04381840277617,0.299365045717698,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"190","5q13.3",-0.168412882351564,-1.01090770977796,0.314770714492244,"con","ALL","5","q","5q",0,-1,"LUAD","B_cell"
"191","5q14.1",-0.165978379860554,-1.01665457884814,0.312043052969066,"con","ALL","5","q","5q",0,-1,"LUAD","B_cell"
"192","5q14.2",-0.177242039910085,-1.1198759255551,0.265746330018016,"con","ALL","5","q","5q",0,-1,"LUAD","B_cell"
"193","5q14.3",-0.185269971560363,-1.17938255161362,0.241354170531605,"con","ALL","5","q","5q",0,-1,"LUAD","B_cell"
"194","5q15",-0.193349235016713,-1.22262220338636,0.224664497854348,"con","ALL","5","q","5q",0,-1,"LUAD","B_cell"
"195","5q21.1",-0.190942776554073,-1.19842991185337,0.233895943009483,"con","ALL","5","q","5q",0,-1,"LUAD","B_cell"
"196","5q21.3",-0.196644804568192,-1.22209301836673,0.22486355478851,"con","ALL","5","q","5q",0,-1,"LUAD","B_cell"
"197","5q22.2",-0.207744465744235,-1.26121023693995,0.210492507373618,"con","ALL","5","q","5q",0,-1,"LUAD","B_cell"
"198","5q22.3",-0.204018160927783,-1.21111551305314,0.229021754501806,"con","ALL","5","q","5q",0,-1,"LUAD","B_cell"
"199","5q23.1",-0.202115257176191,-1.19338325910712,0.235855659090938,"con","ALL","5","q","5q",0,-1,"LUAD","B_cell"
"200","5q23.2",-0.197377232204569,-1.1635291868105,0.24769034145917,"con","ALL","5","q","5q",0,-1,"LUAD","B_cell"
"201","5q31.1",-0.179705700167861,-1.13110340324657,0.261016635496477,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"202","5q31.2",-0.157479326115777,-1.08220132801999,0.282054137035108,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"203","5q31.3",-0.0734280025262664,-0.528441886270369,0.598493375145301,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"204","5q32",-0.0026850940669783,-0.0211857645290505,0.983144369361564,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"205","5q33.1",0.00675356715559586,0.054027907288778,0.957032679647234,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"206","5q33.2",0.00748432441101889,0.0599494964655513,0.952328777350851,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"207","5q33.3",0.00941839260385061,0.0768267959667573,0.938931867282649,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"208","5q34",0.00701923522232966,0.0581229388593643,0.953779558197659,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"209","5q35.1",0.00763292384825831,0.0639525242429907,0.949149858899878,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"210","5q35.2",0.000453601382438912,0.00381591715448241,0.996963791551202,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"211","5q35.3",-0.0125495158579047,-0.112151996770598,0.910952651019735,"con","ALL","5","q","5q",0,1,"LUAD","B_cell"
"212","6p25.2",-0.0981115933464587,-0.388565525064835,0.698515261998733,"con","ALL","6","p","6p",0,1,"LUAD","B_cell"
"213","6p25.1",-0.0575019998243495,-0.234619491406197,0.815037026117578,"con","ALL","6","p","6p",0,1,"LUAD","B_cell"
"214","6p24.3",-0.0396747983196478,-0.167237865551568,0.867558084692662,"con","ALL","6","p","6p",0,1,"LUAD","B_cell"
